iso2,year,gdp_per_capita_usd
MX,2024,14185.7812248529
MY,2024,11874.4273684245
MZ,2024,656.776824637306
NA,2024,4413.12752211572
NC,2024,29213.1923192946
NE,2024,735.270255787226
NG,2024,1084.16041805436
NI,2024,2847.53966339498
NL,2024,67520.4218956281
NO,2024,86785.4334489176
NP,2024,1447.31004458428
NR,2024,13609.158837552
NZ,2024,49205.1792146792
OE,2024,48322.1644204871
OM,2024,20285.2272897377
PA,2024,19161.2188501596
PE,2024,8452.37167056621
PF,2024,22439.8838746025
PG,2024,3006.70564478923
PH,2024,3984.8315387656
PK,2024,1478.77277977996
PL,2024,25103.565661423
PR,2024,39343.7154660139
PS,2024,2592.30591217647
PT,2024,29292.242104753
PW,2023,15610.8231931032
PY,2024,6416.09708970845
QA,2024,76688.6941743178
RO,2024,20080.2096215595
RS,2024,13679.2065983557
RU,2024,14889.0185546875
RW,2024,999.65456165547
S1,2024,15383.3425638674
S2,2024,4453.58561280276
S3,2024,19903.8112311908
S4,2024,16094.1266173126
SA,2024,35121.6628687742
SB,2024,1933.55538435227
SC,2024,17858.8226383978
SD,2024,984.607666015625
SE,2024,57117.4877440616
SG,2024,90674.066632628
SI,2024,34301.0318686594
SK,2024,25992.6748502048
SL,2024,806.654650417726
SM,2023,59879.7173015651
SN,2024,1773.21829923448
SO,2024,629.538899449007
SR,2024,6961.78955961526
ST,2024,3490.56883486557
SV,2024,5579.65969165029
SX,2024,41472.5874498583
SY,2022,1051.67149587463
SZ,2024,3909.55892378182
T2,2024,10474.2809944408
T3,2024,2973.77496155262
T4,2024,10513.9529323033
T5,2024,2690.07883749003
T6,2024,1532.92763550207
T7,2024,13337.4386956337
TC,2024,37506.7798431288
TD,2024,961.55975562506
TG,2024,1119.38160509429
TH,2024,7346.62022142185
TJ,2024,1341.20229027672
TL,2024,1331.9705130185
TM,2024,6856.65802730208
TN,2024,4181.13789301228
TO,2023,5651.59373063157
TR,2024,15892.7157287241
TT,2024,18733.4110406494
TV,2023,6344.7750188689
TZ,2024,1186.71691894531
UA,2024,5389.47314453125
UG,2024,1077.91278452817
US,2024,84534.0407841548
UY,2024,23906.5133029408
UZ,2024,3161.70010632875
V1,2024,1366.06577255622
V2,2024,4450.18711937385
V3,2024,12874.1679137972
V4,2024,55644.314789934
VC,2024,11501.2265187188
VE,2024,4217.59102643391
VI,2022,44320.909185774
VN,2024,4717.29028732449
VU,2024,3410.77023167097
WS,2024,5392.87761915762
XC,2024,46945.4188234427
